5,1994,142
5,1994,142
5,1998,194
5,2010,90
5,2016,109
5,2008,117
5,1998,103
5,2008,98
5,2018,140
5,2017,105
5,2009,96
5,1990,105
5,1993,195
5,1995,127
5,1953,118
5,2008,166
5,1972,175
5,2010,108
5,2015,102
5,2000,109
5,2010,138
4,2018,150
5,2014,149
5,2013,98
5,2003,143
5,1991,118
5,2009,120
5,1992,157
5,1994,154
4,2017,128
5,2002,178
5,2003,90
5,2001,135
4,2015,125
5,1995,89
4,2012,142
4,2012,118
5,1989,128
5,2010,98
5,2005,129
5,1939,238
5,2019,130
5,1995,177
4,2014,102
5,1997,126
5,1975,133
5,2004,123
4,2008,95
5,2000,113
5,2002,81
4,2016,133
5,1998,169
5,2006,147
4,2018,147
5,2001,92
5,2015,114
5,2003,125
5,2013,163
4,2009,95
5,1965,174
4,2013,143
5,2015,95
5,1987,163
5,1999,107
4,2008,126
5,2014,107
5,1994,124
4,2011,91
4,2017,123
4,2010,120
5,2005,128
4,2007,144
4,2009,122
4,2013,131
4,2017,136
4,2016,148
5,1974,202
5,2012,101
4,2011,105
4,2005,120
5,2017,137
4,2015,142
4,2014,136
4,2001,147
5,2004,80
5,2004,103
5,2015,120
5,2018,116
4,2015,117
4,2004,124
4,2013,126
5,1988,133
5,2010,103
4,1997,138
4,2018,118
4,2017,116
5,2013,117
4,2018,123
5,1984,229
5,2001,146
4,2006,151
4,2011,96
4,2011,130
4,2003,111
5,2011,97
4,2009,150
4,2016,144
4,2017,133
4,2004,141
5,2008,94
4,2007,101
4,1990,103
4,2017,130
5,2007,87
4,2005,157
5,2015,104
5,1971,136
5,1999,122
4,2007,169
4,2010,146
4,2013,104
4,2011,136
4,2010,124
4,1994,123
4,2007,111
5,2015,118
4,2011,154
5,2017,125
4,2019,119
4,1999,124
4,2004,99
4,2007,138
4,2017,101
4,2012,142
4,2017,129
4,2017,136
4,1980,119
5,1982,115
4,2017,141
4,2009,153
4,2002,121
4,2017,129
5,1957,116
4,2013,127
5,1993,108
4,2012,120
4,2019,99
4,1995,81
4,2006,101
4,2012,103
4,2013,112
4,2001,115
4,2018,112
5,1990,170
5,1994,133
4,2016,96
4,1997,98
4,2012,106
4,2014,130
4,2005,115
4,2019,114
4,2009,107
5,1996,136
4,2013,180
4,2011,124
4,2016,106
4,2017,104
4,2017,93
5,2000,143
4,1993,105
4,2012,146
5,2007,97
4,2007,126
4,2013,130
5,2015,128
5,2004,108
4,1994,101
4,2012,136
4,2008,96
4,2009,94
4,1996,145
4,2009,100
5,1940,108
4,2014,102
4,2009,107
3,2016,104
5,2014,165
4,2017,108
4,2009,109
5,2004,121
4,2015,118
4,2012,88
4,2013,132
4,2001,183
4,2011,115
5,2007,148
4,2006,125
4,1996,110
4,2006,91
5,2001,144
4,2007,122
4,2013,143
5,1995,106
5,1942,102
4,2017,120
4,1990,127
4,2018,118
4,2017,122
4,2013,146
4,2014,142
4,2015,91
4,2005,124
4,2012,129
4,2002,100
4,2016,87
4,2005,104
4,2016,151
4,1961,115
4,2010,100
5,2001,132
4,2017,103
4,2004,137
3,2018,90
5,1936,87
4,2009,130
4,1995,129
4,2013,116
4,2009,102
5,2000,102
4,1998,88
4,2012,122
5,1999,189
4,2013,91
4,2016,135
4,2006,118
4,2012,102
5,1968,148
5,2009,87
4,2004,127
4,2013,116
4,2016,130
4,2017,90
5,2000,104
4,2015,168
4,2001,90
4,2012,95
5,2008,95
4,2009,114
4,2017,106
4,2012,93
4,2002,81
4,2003,101
4,2002,88
4,2005,86
5,2009,129
4,1997,115
5,2004,132
4,2018,96
4,1967,106
4,2010,113
